sub,network,corr
sub-573249,Lateral,-0.37796447300922736
sub-581450,Occipital,-0.30151134457776363
sub-581450,Ventral,0.8534918135881966
sub-581450,Dorsal,0.5198274600627539
sub-581450,Lateral,-0.42426406871192845
sub-585256,Occipital,-1.0
sub-585256,Ventral,0.2465984809580359
sub-585256,Dorsal,0.4442738243718819
sub-585256,Lateral,0.2571428571428571
sub-601127,Occipital,1.0
sub-601127,Ventral,0.5930802526189112
sub-601127,Dorsal,0.5495318863520542
sub-601127,Lateral,-0.8285714285714286
sub-617748,Occipital,-0.30151134457776363
sub-617748,Ventral,0.8534918135881967
sub-617748,Dorsal,-0.0594088525786004
sub-617748,Lateral,0.07559289460184543
sub-627549,Occipital,1.0
sub-627549,Ventral,1.0
sub-627549,Dorsal,0.7833333333333332
sub-627549,Lateral,-0.07559289460184543
sub-638049,Occipital,1.0
sub-638049,Ventral,-0.32826608214930636
sub-638049,Dorsal,0.21869459178996256
sub-638049,Lateral,0.07559289460184543
sub-644246,Occipital,1.0
sub-644246,Ventral,0.8219949365267865
sub-644246,Dorsal,0.8465761492450564
sub-644246,Lateral,-0.37796447300922736
sub-654552,Occipital,1.0
sub-654552,Ventral,1.0
sub-654552,Dorsal,0.687196021592837
sub-654552,Lateral,-0.8315218406203
sub-671855,Occipital,-0.30151134457776363
sub-671855,Ventral,0.9615239476408233
sub-671855,Dorsal,0.6066167414172987
sub-671855,Lateral,-0.15404159684748153
sub-680957,Occipital,1.0
sub-680957,Ventral,0.6423677455562796
sub-680957,Dorsal,0.15554275420956373
sub-680957,Lateral,-0.07559289460184543
sub-690152,Occipital,1.0
sub-690152,Ventral,0.08219949365267867
sub-690152,Dorsal,0.6166666666666666
sub-690152,Lateral,-0.37796447300922736
sub-706040,Occipital,1.0
sub-706040,Ventral,1.0
sub-706040,Dorsal,0.777713771047819
sub-706040,Lateral,-0.42426406871192845
sub-724446,Occipital,-0.30151134457776363
sub-724446,Ventral,1.0
sub-724446,Dorsal,0.6843846527656624
sub-724446,Lateral,0.3779644730092272
sub-725751,Occipital,1.0
sub-725751,Ventral,0.15249857033260467
sub-725751,Dorsal,0.0777713771047819
sub-725751,Lateral,-0.680336051416609
sub-751550,Occipital,-0.30151134457776363
sub-751550,Ventral,0.8682431421244592
sub-751550,Dorsal,0.8400048262409615
sub-751550,Lateral,-0.07559289460184543
sub-757764,Occipital,-0.30151134457776363
sub-757764,Ventral,0.6469966392206303
sub-757764,Dorsal,0.6333333333333333
sub-757764,Lateral,-0.282842712474619
sub-765864,Occipital,1.0
sub-765864,Ventral,0.45749571099781405
sub-765864,Dorsal,0.7499999999999998
sub-765864,Lateral,-0.07559289460184543
sub-771354,Occipital,1.0
sub-771354,Ventral,1.0
sub-771354,Dorsal,0.21666666666666662
sub-771354,Lateral,-0.42426406871192845
sub-782561,Occipital,1.0
sub-782561,Ventral,1.0
sub-782561,Dorsal,0.7426106572325056
sub-782561,Lateral,1.0
sub-783462,Occipital,-0.30151134457776363
sub-783462,Ventral,0.8129497539188609
sub-783462,Dorsal,0.412883728152337
sub-783462,Lateral,0.07559289460184546
sub-789373,Occipital,1.0
sub-789373,Ventral,0.9767441860465117
sub-789373,Dorsal,0.5910624659963424
sub-789373,Lateral,-0.18070158058105024
sub-814649,Occipital,1.0
sub-814649,Ventral,0.4177658457638591
sub-814649,Dorsal,0.6666666666666665
sub-814649,Lateral,-0.07559289460184543
sub-818859,Occipital,-0.30151134457776363
sub-818859,Ventral,0.7000000000000001
sub-818859,Dorsal,0.4244055018581897
sub-818859,Lateral,1.0
sub-833249,Occipital,-0.30151134457776363
sub-833249,Ventral,-0.7878385971583352
sub-833249,Dorsal,0.4752708206288036
sub-833249,Lateral,-0.8366600265340757
sub-859671,Occipital,-0.30151134457776363
sub-859671,Ventral,0.8219949365267865
sub-859671,Dorsal,0.6513308249848297
sub-859671,Lateral,-0.42257712736425834
sub-861456,Occipital,-0.30151134457776363
sub-861456,Ventral,0.5753964555687505
sub-861456,Dorsal,0.8270396169735617
